,first,O,album,artist,best_rating,city,condition_description,condition_temperature,country,cuisine,current_location,entity_name,facility,genre,geographic_poi,location_name,movie_name,movie_type,music_item,object_location_type,object_name,object_part_of_series_type,object_select,object_type,party_size_description,party_size_number,playlist,playlist_owner,poi,rating_unit,rating_value,restaurant_name,restaurant_type,served_dish,service,sort,spatial_relation,state,timeRange,track,year
22,object_type,0.22,0,0,0.09,0,0.04,0.08,0.04,0,0.07,0,0.06,0,0.09,0.12,0.38,0.09,0,0.1,1.8,0,0,0.34,0,0,0,0,0,0.07,0.1,0.03,0.08,0,0.1,0.05,0.11,0.05,0.11,0.03,0.08
23,party_size_description,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
24,party_size_number,0.14,0,0,0,0.03,0.03,0.03,0.03,0.07,0,0,0.06,0,0,0.03,0.06,0.04,0,0.03,0,0,0,0.05,0.06,0.1,0,0,0,0,0,0.1,0.03,0.04,0.03,0,0.03,0.03,0.04,0,0.03
25,playlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,playlist_owner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,poi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,rating_unit,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,rating_value,0.29,0,0,0.06,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0.03,0,0.03,1.02,0.05,0.03,0.07,0,0,0,0,0,0.06,0.16,0,0,0,0.05,0,0.05,0,0.03,0,0.04
30,restaurant_name,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.15,0,0,0,0,0,0,0.03,0,0
31,restaurant_type,0.1,0,0,0,0,0.03,0.03,0.03,0.05,0.03,0,0.05,0,0.03,0.03,0,0.03,0,0.03,0.03,0,0,0.05,0.03,0.05,0,0,0,0,0,0.16,0.04,0,0.03,0,0.03,0.04,0.04,0,0.03
32,served_dish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
33,service,0.06,0.14,0.06,0,0,0,0,0.03,0,0,0,0,0.03,0,0.03,0,0.03,0.04,0.03,0,0,0,0.03,0,0,0.06,0,0,0,0,0,0,0,0.07,0.04,0.03,0,0.06,0.12,0.03
34,sort,0.04,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.03,0,0,0,0.09,0
35,spatial_relation,0.16,0,0,0,0.04,0,0.03,0.03,0,0,0,0.03,0,0.05,0.12,0.11,0,0,0.03,0.03,0,0,0.04,0,0,0,0,0,0,0,0.04,0.03,0,0,0,0.03,0,0.06,0,0
36,state,0,0,0,0,0.24,0,0,0.03,0,0.03,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.03,0,0
37,timeRange,0.2,0,0,0,0.16,0.05,0.05,0.05,0.04,0.04,0,0.06,0,0.08,0.07,0.1,0.05,0,0.05,0,0,0,0.08,0.04,0.03,0,0,0,0,0,0.06,0.04,0,0.05,0.03,0.05,0.06,0.31,0,0.04
38,track,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0
39,year,0.04,0.17,0.11,0.03,0,0,0.03,0.03,0,0,0,0,0.05,0,0.03,0,0.03,0.04,0.03,0.05,0,0,0.03,0,0,0.04,0,0,0,0.03,0,0,0,0.03,0.04,0.03,0,0.03,0.1,0.04
