,first,O,album,artist,best_rating,city,condition_description,condition_temperature,country,cuisine,current_location,facility,genre,geographic_poi,location_name,movie_name,movie_type,music_item,object_location_type,object_name,object_part_of_series_type,object_select,object_type,party_size_description,party_size_number,playlist,poi,rating_unit,rating_value,restaurant_name,restaurant_type,served_dish,service,sort,spatial_relation,state,timeRange,track,year
10,facility,0.02,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
11,genre,0.04,0.02,0.0,0.0,0.09,0.0,0.0,0.03,0.11,0.0,0.03,0.18,0.01,0.01,0.11,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
12,geographic_poi,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
13,location_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
14,movie_name,0.08,0.04,0.03,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.19,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0
15,movie_type,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,music_item,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.0,0.26,0.0,0.18,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
17,object_location_type,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.8,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,object_name,0.1,0.04,0.03,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.1,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.03,0.0
19,object_part_of_series_type,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.03,0.0,0.04,0.28,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
20,object_select,0.39,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.07,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.01,0.01,0.04,0.01,0.0
21,object_type,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.03,0.04,0.01,0.09,0.01,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
22,party_size_description,0.0,0.06,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.39,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
23,party_size_number,0.03,0.01,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.19,0.01,0.0,0.0,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.02,0.01
24,playlist,0.05,0.05,0.01,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.01,0.04,0.01,0.01,0.12,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0
25,poi,0.12,0.02,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.09,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
26,rating_unit,0.04,0.02,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.08,0.01,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.39,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.02,0.0
27,rating_value,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.17,0.01,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.02,0.0
28,restaurant_name,0.02,0.04,0.05,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.09,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0
29,restaurant_type,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
30,served_dish,0.11,0.04,0.05,0.0,0.16,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.1,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.09,0.01,0.0,0.0,0.0,0.01,0.02,0.0
31,service,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
32,sort,0.13,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.57,0.0,0.02,0.03,0.0,0.0
33,spatial_relation,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
34,state,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.64,0.0,0.02,0.0
35,timeRange,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
36,track,0.06,0.02,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.22,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.11,0.0
37,year,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.83
38,entity_name,0.09,0.05,0.03,0.0,0.14,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.01,0.15,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.0
39,playlist_owner,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.0
